STATE/UT,,Rapes,Kidnaps
ANDHRA PRADESH,,1664,1764
ARUNACHAL PRADESH,,47,49
ASSAM,,1626,2689
BIHAR,,1327,4639
CHHATTISGARH,,1214,441
GOA,,61,12
GUJARAT,,647,1939
HARYANA,,940,660
HIMACHAL PRADESH,,259,131
JAMMU & KASHMIR,,388,884
JHARKHAND,,780,1000
KARNATAKA,,842,1035
KERALA,,1259,253
MADHYA PRADESH,,4822,1648
MAHARASHTRA,,2591,1775
MANIPUR,,46,101
MEGHALAYA,,182,6
MIZORAM,,122,3
NAGALAND,,26,7
ODISHA,,1666,1347
PUNJAB,,895,731
RAJASTHAN,,1807,1565
SIKKIM,,29,8
TAMIL NADU,,962,1557
TRIPURA,,202,120
UTTAR PRADESH,,3593,20565
UTTARAKHAND,,184,242
WEST BENGAL,,1963,3352
A & N ISLANDS,,17,7
CHANDIGARH,,34,48
D & N HAVELI,,5,11
DAMAN & DIU,,10,0
DELHI,,892,478
LAKSHADWEEP,,0,0
PUDUCHERRY,,15,16
TOTAL,,31117,49083
